paperCount,citationCount,mutual_edge,ego_edge,hub,authority,average_degress,density,shortest_path,transitivity,num_community,node,neighbour_paper_mean,neighbour_citation_mean,neighbour_gender_ratio,gender,2015Ranking,ElectionYear,new_Id,subject
0.198074278,0.054871585,0.300632943,0.253012048,1,0.938623134,0.003363104,0.093122872,0.801578155,0.295370141,0.428571429,6.29E-05,0.260110577,0.097911307,0.333333333,0,6,1983,2428765436,12
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,0,1,1984,2105988687,12
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,0,2,1984,2166930534,14
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,0,6,1984,2114523211,54
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4.42E-05,1,1,0.310344828,0,0,1984,668604745,12
0.204026115,0.109197371,0.016545712,0.023072305,0.996658468,0.893735664,0.013129715,0.002494376,0.251284378,0.006171613,0.9,0.004814003,0.109412249,0.218897673,0.158986534,0,97,1984,2433328336,13
0.228509249,0.206198025,0.234481514,0,1,0.500533421,0.001229158,0.331605272,0.355890839,0.474594355,0.1,7.62E-06,0.178233573,0.181987252,0,0,79,1984,2223396521,13
0.894201424,0.445079396,0.619122037,0.273898305,1,0.977155911,0.037049094,0.040798992,0.561408818,0.484734571,0.238095238,0.00044834,0.471704876,0.527116953,0.208590815,0,1,1984,1868831760,14
0.399287894,0.162218254,0.436521438,0.119605263,1,0.99564526,0.042195666,0.011176432,0.594709908,0.314436257,0.523809524,0.001881521,0.570559509,0.214938653,0.433703676,0,8,1984,2148124418,14
0.069825436,0.104433769,0.290879655,0.072372999,1,0.954048664,0.09151414,0.035279363,0.631259799,0.173587983,0.315789474,0.002074415,0.377957038,0.245245877,0.152678571,0,2,1984,2144633556,34
0.422685656,0.162324437,0.479556525,0.292753623,1,0.99984512,0.050057785,0.008220882,0.640731312,0.359779669,0.428571429,0.003306413,0.472846754,0.216681909,0.447166561,0,21,1984,110390236,14
0.12381646,0.044352691,0.162975671,0.309090909,1,0.992801958,0.013779376,0.034626996,0.746522327,0.227162125,0.533333333,0.000366817,0.172055118,0.269032841,0.434568835,0,201,1984,2154513401,53
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,0,86,1985,2319379702,12
